Id,Label,kind,group,df,degree,strength,betweenness,community
t:長官,長官,term,term,16,6,3.144,0.05188,6
t:滋賀,滋賀,term,term,5,4,3.13,0.0,15
t:選定,選定,term,term,12,6,3.1029,0.06675,2
t:登録記念試合,登録記念試合,term,term,5,5,3.1025,0.0,0
org:unesco,ユネスコ,org,other,26,6,3.0855,0.01122,0
t:クリエーター支援基金,クリエーター支援基金,term,term,7,4,3.0446,0.0,11
t:宮城,宮城,term,term,7,5,3.035,0.00057,4
t:オリックス,オリックス,term,term,4,5,3.0233,0.0,0
t:歌手,歌手,term,term,11,4,3.0199,0.0,8
t:報道関係者,報道関係者,term,term,7,4,3.0158,0.0,13
t:亀虎古墳壁画体験,亀虎古墳壁画体験,term,term,4,3,3.0,0.0,19
t:亀虎古墳壁画保存,亀虎古墳壁画保存,term,term,4,3,3.0,0.0,19
t:四神,四神,term,term,4,3,3.0,0.0,19
t:管理施設,管理施設,term,term,4,3,3.0,0.0,19
t:助成金,助成金,term,term,22,5,2.9998,0.01971,5
t:学芸員,学芸員,term,term,20,5,2.981,0.0188,15
t:政策,政策,term,term,29,6,2.9117,0.1402,12
t:危険,危険,term,term,4,4,2.9003,0.0,8
t:妖怪画コレクション,妖怪画コレクション,term,term,5,3,2.8618,0.0,18
t:幽霊,幽霊,term,term,5,3,2.8618,0.0,18
t:廃棄,廃棄,term,term,16,5,2.8498,0.00498,1
t:会議資料,会議資料,term,term,13,4,2.8289,0.00496,3
t:売買,売買,term,term,7,4,2.8179,0.00164,20
t:BGM使用料,BGM使用料,term,term,8,4,2.8101,0.0,8
t:福岡市博物館収蔵,福岡市博物館収蔵,term,term,4,3,2.7915,0.0,18
t:進行中,進行中,term,term,5,4,2.7893,0.0,8
facility:tokyo_bunka_kaikan,東京文化会館,facility,facility,14,4,2.7706,0.00496,10
t:表現,表現,term,term,8,4,2.7315,0.00496,5
t:宗教法人,宗教法人,term,term,11,4,2.7211,0.00164,20
policy:shiseki_meisho,史跡名勝天然記念物,program,policy,7,4,2.6981,0.0026,2
t:対象事業決定,対象事業決定,term,term,15,4,2.6912,0.0148,6
t:オペラ,オペラ,term,term,9,4,2.6911,0.00496,10
t:向ける,向ける,term,term,21,5,2.6809,0.01971,12
t:アンケート,アンケート,term,term,4,4,2.6786,0.00164,20
t:特別展,特別展,term,term,9,3,2.6631,0.0,18
policy:bunka_kanko,文化観光,policy,policy,27,4,2.6408,7e-05,17
t:事業,事業,term,term,36,6,2.5368,0.01241,9
t:検討会,検討会,term,term,5,4,2.5203,0.01062,3
t:古墳壁画,古墳壁画,term,term,4,3,2.4253,0.0,3
t:指定,指定,term,term,10,4,2.4096,0.0,2
t:企画展,企画展,term,term,12,4,2.4081,0.01962,16
t:公民館,公民館,term,term,16,4,2.4035,0.00496,16
t:漫画,漫画,term,term,10,4,2.3486,0.00988,6
t:保存活用,保存活用,term,term,6,3,2.2969,0.0,3
t:奈良県,奈良県,term,term,17,6,2.26,0.01282,0
t:決議,決議,term,term,9,5,2.2557,0.0,0
t:拠点,拠点,term,term,10,4,2.2481,0.00129,4
t:石舞台古墳,石舞台古墳,term,term,6,3,2.2262,0.00247,22
t:会議開催,会議開催,term,term,8,3,2.2241,0.0,3
t:図書館,図書館,term,term,21,4,2.2132,0.01606,7
t:東京駅,東京駅,term,term,5,3,2.2125,0.00247,22
t:事例,事例,term,term,7,3,2.2125,0.0,20
t:著作権,著作権,term,term,18,4,2.1951,0.00025,13
t:建造物,建造物,term,term,6,4,2.1902,0.01701,2
t:ビエンナーレ,ビエンナーレ,term,term,14,4,2.1773,0.04438,5
t:留意,留意,term,term,11,3,2.1491,1e-05,0
t:不自由展,不自由展,term,term,5,3,2.1452,0.0,5
t:ホームページ内,ホームページ内,term,term,5,3,2.1186,0.0,3
t:経済,経済,term,term,8,3,2.1141,0.00557,6
t:殿堂,殿堂,term,term,8,3,2.0792,0.0,10
t:記念物課,記念物課,term,term,8,3,2.0499,0.03673,12
policy:mukei_bunka_isan,無形文化遺産,program,policy,15,4,2.0016,0.00707,0
t:地域,地域,term,term,23,5,1.9973,0.02423,4
policy:bunka_shigen,文化資源,policy,policy,14,3,1.9837,0.03673,12
t:デザイン,デザイン,term,term,6,3,1.981,0.0,16
t:社会教育,社会教育,term,term,11,3,1.9776,0.0,16
t:指定等,指定等,term,term,6,3,1.963,0.0,2
t:ホール,ホール,term,term,14,4,1.9627,0.04813,10
t:周年記念,周年記念,term,term,9,4,1.9445,0.0236,9
t:使用料,使用料,term,term,7,3,1.9353,0.0,8
t:ベネチア,ベネチア,term,term,10,3,1.9022,0.00293,5
t:出現,出現,term,term,5,2,1.8946,0.0,22
t:伊藤学司,伊藤学司,term,term,4,3,1.8845,0.0,6
t:あいちトリエンナーレ,あいちトリエンナーレ,term,term,11,3,1.881,0.0,5
t:成立,成立,term,term,6,3,1.8797,0.00087,8
t:Eメール,Eメール,term,term,7,2,1.842,0.0,24
t:docomomo,docomomo,term,term,4,2,1.8366,0.0,23
t:ジャパン,ジャパン,term,term,5,2,1.8013,0.0,23
t:当たる,当たる,term,term,4,4,1.7844,0.0,0
t:mext,mext,term,term,10,2,1.7829,0.0,24
t:サポート助成,サポート助成,term,term,4,2,1.7808,0.0,6
t:東京芸術文化鑑賞,東京芸術文化鑑賞,term,term,4,2,1.7808,0.0,6
t:主催,主催,term,term,6,3,1.7757,0.00496,7
t:kokugo,kokugo,term,term,4,2,1.7553,0.0,24
t:フェスティバル,フェスティバル,term,term,19,3,1.7201,0.04984,5
policy:hakubutsukanho,博物館法,law,policy,26,3,1.7182,0.00496,8
t:一般社団法人,一般社団法人,term,term,5,2,1.7119,0.0,23
t:観光,観光,term,term,17,3,1.6863,0.00022,6
t:推進本部,推進本部,term,term,4,2,1.6834,0.0,17
t:食文化推進本部,食文化推進本部,term,term,4,2,1.6834,0.0,17
t:生きる,生きる,term,term,10,3,1.6752,0.00665,9
t:歴史,歴史,term,term,15,3,1.6722,0.01019,9
t:奄美食育食文化,奄美食育食文化,term,term,4,3,1.6718,0.00724,9
t:盆踊り,盆踊り,term,term,5,3,1.666,0.0,0
policy:geijutsusai,芸術祭,program,policy,19,3,1.6386,0.0099,5
t:ニスモフェスティバル,ニスモフェスティバル,term,term,4,2,1.6189,0.0,5
t:日産,日産,term,term,4,2,1.6189,0.0,5
t:著作権分科会,著作権分科会,term,term,9,3,1.5929,0.01291,2
t:カインホア,カインホア,term,term,4,2,1.5906,0.0,17
t:地元,地元,term,term,5,4,1.5831,0.0,0
t:コンソーシアム,コンソーシアム,term,term,4,2,1.5554,0.0,12
t:回会議,回会議,term,term,4,2,1.5554,0.0,12
t:公募,公募,term,term,22,3,1.5456,0.0293,7
t:アニメ,アニメ,term,term,7,2,1.5404,0.00496,6
t:資料,資料,term,term,18,3,1.5348,2e-05,1
t:勧告,勧告,term,term,6,4,1.5292,0.0,0
t:財団,財団,term,term,6,2,1.5078,0.00496,5
policy:kokuho,国宝,program,policy,17,2,1.5047,0.00496,0
t:デー,デー,term,term,7,2,1.4978,0.0,17
t:彦根城,彦根城,term,term,7,3,1.457,0.00988,0
policy:bunkazai_hozon_katsuyo_chiiki_keikaku,文化財保存活用地域計画,program,policy,30,3,1.4461,0.0099,4
t:紡ぐ,紡ぐ,term,term,7,2,1.4331,0.0,9
t:明日香村,明日香村,term,term,4,3,1.4132,0.0,0
t:計画,計画,term,term,17,3,1.4067,0.00093,4
t:誘客,誘客,term,term,6,4,1.4049,0.0,0
t:受付期間,受付期間,term,term,8,2,1.3602,0.0,0
t:実習,実習,term,term,5,2,1.3491,2e-05,25
t:可決,可決,term,term,5,2,1.349,0.0,8
t:起きる,起きる,term,term,5,2,1.3259,0.0,8
t:参事官,参事官,term,term,9,2,1.2727,0.0,3
t:好循環,好循環,term,term,4,2,1.2718,0.00237,6
t:国会,国会,term,term,4,2,1.2549,0.0,8
t:登録決定,登録決定,term,term,6,3,1.2477,0.0,0
t:運営,運営,term,term,19,3,1.2466,0.01972,7
t:国語分科会言語資源,国語分科会言語資源,term,term,4,2,1.2427,0.0,0
t:芸術文化担当,芸術文化担当,term,term,5,2,1.2123,0.0,3
t:国立博物館,国立博物館,term,term,9,2,1.1988,0.00111,1
t:登録記念物,登録記念物,term,term,5,2,1.1941,0.00078,2
t:遺跡,遺跡,term,term,5,3,1.1755,0.0,0
t:支援,支援,term,term,31,3,1.1699,0.00729,4
t:プロジェクト,プロジェクト,term,term,17,2,1.1558,0.0,9
t:クアンチ省,クアンチ省,term,term,4,2,1.1525,0.0,6
t:届く,届く,term,term,4,2,1.1289,0.0,0
t:満杯,満杯,term,term,5,2,1.1249,0.0,1
t:収蔵庫,収蔵庫,term,term,9,2,1.1087,0.0,1
t:公募型プロポーザル,公募型プロポーザル,term,term,7,2,1.1002,0.00349,9
t:メールアドレス,メールアドレス,term,term,6,2,1.0966,0.0,0
t:連絡,連絡,term,term,6,2,1.0966,0.0,0
t:管理,管理,term,term,7,2,1.0674,0.0,1
t:助成,助成,term,term,22,3,1.0626,0.09375,6
t:利用,利用,term,term,12,2,1.0094,0.0,10
t:PPP町作り,PPP町作り,term,term,5,1,1.0,0.0,26
t:公民連携最前線,公民連携最前線,term,term,5,1,1.0,0.0,26
t:東京芸術文化創造,東京芸術文化創造,term,term,4,1,1.0,0.0,27
t:発信助成,発信助成,term,term,4,1,1.0,0.0,27
t:nnn,nnn,term,term,4,1,1.0,0.0,28
t:日掲載,日掲載,term,term,4,1,1.0,0.0,28
t:規制,規制,term,term,4,1,1.0,0.0,29
t:輸入音楽CD,輸入音楽CD,term,term,4,1,1.0,0.0,29
t:変わる,変わる,term,term,6,2,0.9993,0.0,8
t:再編,再編,term,term,5,2,0.999,0.00186,1
t:周年,周年,term,term,12,3,0.9727,0.03039,0
t:世界,世界,term,term,20,2,0.9566,4e-05,21
t:国立近現代建築資料館,国立近現代建築資料館,term,term,7,2,0.9525,0.02443,16
t:活用,活用,term,term,30,2,0.9351,0.00266,9
t:明治安田クオリティオブライフ文化,明治安田クオリティオブライフ文化,term,term,4,1,0.9328,0.0,5
t:センター,センター,term,term,15,2,0.9314,0.00496,7
t:亀虎古墳壁画,亀虎古墳壁画,term,term,11,1,0.9133,0.0,0
t:指定管理,指定管理,term,term,9,2,0.9132,0.00104,7
t:部会,部会,term,term,7,2,0.9036,0.00582,2
policy:toroku_yukei_bunkazai,登録有形文化財,program,policy,5,1,0.8958,0.0,2
t:話題,話題,term,term,5,2,0.8893,0.0,13
t:求める,求める,term,term,13,2,0.8891,0.0,7
t:無断転載,無断転載,term,term,5,1,0.8806,0.0,14
t:展示,展示,term,term,10,2,0.8702,0.02152,15
t:劇場,劇場,term,term,20,2,0.8614,0.0007,7
t:回全国高等学校総合文化祭,回全国高等学校総合文化祭,term,term,6,1,0.8448,0.0,30
t:校東京公演,校東京公演,term,term,4,1,0.8448,0.0,30
t:年フード,年フード,term,term,4,2,0.8446,0.00859,4
t:政治,政治,term,term,4,1,0.8204,0.0,31
t:行政,行政,term,term,7,1,0.8204,0.0,31
t:日本,日本,term,term,38,2,0.8196,4e-05,21
t:別紙,別紙,term,term,10,2,0.8168,0.01752,2
t:弁護士,弁護士,term,term,5,2,0.8032,0.0,1
policy:arts_council,アーツカウンシル,program,policy,8,1,0.7992,0.0,32
t:沖縄,沖縄,term,term,4,1,0.7992,0.0,32
t:映像,映像,term,term,5,1,0.7851,0.0,6
t:バレエ,バレエ,term,term,4,1,0.7806,0.0,10
t:採択,採択,term,term,6,2,0.7803,0.004,9
org:mext,文部科学省,org,other,13,1,0.7775,0.0,33
t:会議室,会議室,term,term,7,1,0.7775,0.0,33
t:議題,議題,term,term,5,1,0.7639,0.0,34
t:非公開,非公開,term,term,8,1,0.7639,0.0,34
t:稼ぐ,稼ぐ,term,term,8,2,0.7593,0.0336,1
t:市民,市民,term,term,15,2,0.7575,0.0,7
t:明治安田文化財団,明治安田文化財団,term,term,5,1,0.7449,0.0,5
t:保存会,保存会,term,term,5,1,0.7449,0.0,5
t:自由,自由,term,term,6,1,0.7351,0.0,5
t:活性化,活性化,term,term,6,1,0.7351,0.0,6
t:イベント,イベント,term,term,17,2,0.7337,0.05263,5
t:目途,目途,term,term,4,1,0.7224,0.0,3
t:学ぶ,学ぶ,term,term,11,1,0.7135,0.0,25
t:スタートアップ助成,スタートアップ助成,term,term,4,1,0.6997,0.0,6
t:長期休館,長期休館,term,term,5,1,0.6753,0.0,10
t:文化芸術,文化芸術,term,term,26,2,0.6727,0.00214,4
t:開催中止,開催中止,term,term,4,1,0.6623,0.0,5
t:公演,公演,term,term,13,1,0.6582,0.0,7
t:代表,代表,term,term,7,1,0.6465,0.0,2
t:市民文化会館,市民文化会館,term,term,6,1,0.6465,0.0,10
t:休館,休館,term,term,12,1,0.6465,0.0,35
t:文化センター,文化センター,term,term,7,1,0.6465,0.0,35
t:目指す,目指す,term,term,18,1,0.6356,0.0,25
policy:hakubutsukan_toroku,博物館登録制度,program,policy,8,1,0.6352,0.0,8
t:国際,国際,term,term,5,1,0.627,0.0,5
t:基準,基準,term,term,6,1,0.6254,0.0,1
t:基本計画,基本計画,term,term,12,1,0.6231,0.0,4
t:サントリー文化財団,サントリー文化財団,term,term,5,1,0.6182,0.0,11
t:開幕,開幕,term,term,4,1,0.6127,0.0,0
policy:bunkazai_bosai,文化財防災,policy,policy,7,1,0.6112,0.0,7
t:文化財分科会企画調査会,文化財分科会企画調査会,term,term,6,1,0.6061,0.0,2
t:件認定,件認定,term,term,5,1,0.59,0.0,4
t:期文化経済部会,期文化経済部会,term,term,5,1,0.5871,0.0,2
t:構築,構築,term,term,6,1,0.5823,0.0,12
t:再開,再開,term,term,7,1,0.5738,0.0,5
t:文化会館,文化会館,term,term,15,1,0.5637,0.0,10
t:聞く,聞く,term,term,9,1,0.5612,0.0,6
t:老朽化,老朽化,term,term,7,1,0.5579,0.0,10
t:長岡市,長岡市,term,term,5,1,0.5547,0.0,4
t:育成,育成,term,term,8,1,0.5445,0.0,21
t:報告,報告,term,term,10,1,0.5445,0.0,16
t:保存,保存,term,term,13,1,0.5328,0.0,36
t:文化財,文化財,term,term,29,1,0.5328,0.0,36
t:高知県,高知県,term,term,8,1,0.5294,0.0,7
t:巡る,巡る,term,term,18,2,0.528,0.01761,1
t:作成,作成,term,term,6,1,0.497,0.0,9
t:提言,提言,term,term,12,1,0.4726,0.0,12
t:現状,現状,term,term,5,1,0.4707,0.0,1
t:コレクション,コレクション,term,term,5,1,0.4707,0.0,1
t:アーチスト,アーチスト,term,term,9,1,0.4565,0.0,4
t:スポーツ,スポーツ,term,term,7,1,0.4501,0.0,6
t:魅力,魅力,term,term,11,1,0.4452,0.0,9
t:展開,展開,term,term,10,1,0.4398,0.0,1
t:音楽,音楽,term,term,11,1,0.4149,0.0,8
t:文化政策,文化政策,term,term,35,1,0.4105,0.0,37
t:無い,無い,term,term,16,1,0.4105,0.0,37
t:問題,問題,term,term,11,1,0.4102,0.0,1
t:収蔵品,収蔵品,term,term,11,1,0.4102,0.0,1
t:拡大,拡大,term,term,6,1,0.4084,0.0,6
t:未来,未来,term,term,15,1,0.4075,0.0,21
t:記念,記念,term,term,17,1,0.361,0.0,4
t:紹介,紹介,term,term,9,1,0.3601,0.0,9
t:亀虎古墳,亀虎古墳,term,term,4,1,0.3532,0.0,0
t:広島,広島,term,term,4,1,0.3532,0.0,0
t:観光客,観光客,term,term,5,1,0.3448,0.0,0
t:芸術,芸術,term,term,10,1,0.3276,0.0,6
t:継承,継承,term,term,6,1,0.316,0.0,0
t:概算要求,概算要求,term,term,5,1,0.3135,0.0,3
t:質問,質問,term,term,4,1,0.289,0.0,3
t:フィンランド,フィンランド,term,term,6,1,0.289,0.0,0
t:年度概算要求,年度概算要求,term,term,5,1,0.2537,0.0,3
t:地方,地方,term,term,5,1,0.2537,0.0,3
t:協議会,協議会,term,term,5,1,0.2537,0.0,3
t:提出,提出,term,term,9,1,0.2518,0.0,0
